cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",5465,"(+/- 1698 )",7333,"(+/- 1923 )",6191,"(+/- 1919 )",6264,"(+/- 1826 )",15619,"(+/- 3517 )",7975,"(+/- 2061 )",12758,"(+/- 2367 )",2212,"(+/- 1031 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",701916,"(+/- 10631 )",728373,"(+/- 13987 )",781433,"(+/- 8700 )",745291,"(+/- 3963 )",704804,"(+/- 6921 )",744105,"(+/- 7296 )",745019,"(+/- 3162 )",722153,"(+/- 5268 )"
People,"Place of Birth","Total population",727772,"(+/- 11114 )",751926,"(+/- 14353 )",802919,"(+/- 8570 )",775664,"(+/- 4050 )",777659,"(+/- 7357 )",777104,"(+/- 7601 )",787917,"(+/- 3195 )",736467,"(+/- 5208 )"
People,"Place of Birth",Native,680438,"(+/- 10452 )",695313,"(+/- 13645 )",783667,"(+/- 8708 )",748860,"(+/- 5149 )",728532,"(+/- 8080 )",754407,"(+/- 7497 )",759496,"(+/- 3842 )",724668,"(+/- 5282 )"
People,"Place of Birth","Born in United States",670488,"(+/- 10410 )",689751,"(+/- 13446 )",778317,"(+/- 9014 )",740267,"(+/- 5400 )",723418,"(+/- 8274 )",747959,"(+/- 7653 )",753235,"(+/- 4012 )",720621,"(+/- 5483 )"
People,"Place of Birth","State of residence",494418,"(+/- 10464 )",487875,"(+/- 12316 )",588062,"(+/- 10680 )",494368,"(+/- 8793 )",465027,"(+/- 10045 )",506252,"(+/- 11041 )",474740,"(+/- 9399 )",530778,"(+/- 8729 )"
People,"Place of Birth","Different state",176070,"(+/- 6734 )",201876,"(+/- 7406 )",190255,"(+/- 8757 )",245899,"(+/- 7983 )",258391,"(+/- 9871 )",241707,"(+/- 8604 )",278495,"(+/- 9530 )",189843,"(+/- 7730 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",9950,"(+/- 1929 )",5562,"(+/- 1291 )",5350,"(+/- 1404 )",8593,"(+/- 1705 )",5114,"(+/- 1070 )",6448,"(+/- 1609 )",6261,"(+/- 1549 )",4047,"(+/- 1130 )"
People,"Place of Birth","Foreign born",47334,"(+/- 5187 )",56613,"(+/- 4607 )",19252,"(+/- 2833 )",26804,"(+/- 3105 )",49127,"(+/- 5393 )",22697,"(+/- 2534 )",28421,"(+/- 2918 )",11799,"(+/- 1665 )"
People,Ancestry,"Total population",727772,"(+/- 11114 )",751926,"(+/- 14353 )",802919,"(+/- 8570 )",775664,"(+/- 4050 )",777659,"(+/- 7357 )",777104,"(+/- 7601 )",787917,"(+/- 3195 )",736467,"(+/- 5208 )"
People,Ancestry,American,26818,"(+/- 4171 )",45621,"(+/- 5340 )",66881,"(+/- 7300 )",72903,"(+/- 5828 )",36085,"(+/- 3454 )",67118,"(+/- 5370 )",67066,"(+/- 6947 )",94426,"(+/- 8021 )"
People,Ancestry,Arab,4534,"(+/- 1751 )",5508,"(+/- 1931 )",850,"(+/- 630 )",1432,"(+/- 844 )",5644,"(+/- 2539 )",761,"(+/- 931 )",1865,"(+/- 1055 )",372,"(+/- 288 )"
People,Ancestry,Czech,2537,"(+/- 726 )",5147,"(+/- 1322 )",3997,"(+/- 1412 )",3439,"(+/- 1450 )",2276,"(+/- 1026 )",3358,"(+/- 1170 )",3410,"(+/- 1152 )",1384,"(+/- 585 )"
People,Ancestry,Danish,672,"(+/- 401 )",1937,"(+/- 724 )",1501,"(+/- 659 )",2080,"(+/- 879 )",2022,"(+/- 602 )",3388,"(+/- 1098 )",2658,"(+/- 1063 )",850,"(+/- 480 )"
People,Ancestry,Dutch,4570,"(+/- 981 )",7644,"(+/- 1794 )",10140,"(+/- 2386 )",15796,"(+/- 3526 )",7105,"(+/- 1378 )",10584,"(+/- 2191 )",11165,"(+/- 2948 )",11104,"(+/- 2568 )"
People,Ancestry,English,34749,"(+/- 4559 )",78111,"(+/- 5618 )",67544,"(+/- 5682 )",78312,"(+/- 5579 )",57289,"(+/- 4046 )",76134,"(+/- 4810 )",66682,"(+/- 5553 )",57730,"(+/- 4156 )"
People,Ancestry,"French (except Basque)",13487,"(+/- 1787 )",27342,"(+/- 2780 )",26498,"(+/- 3387 )",17479,"(+/- 2362 )",14352,"(+/- 2633 )",17901,"(+/- 2275 )",18873,"(+/- 3514 )",28282,"(+/- 4171 )"
People,Ancestry,"French Canadian",1734,"(+/- 1848 )",1218,"(+/- 616 )",1741,"(+/- 614 )",2504,"(+/- 1004 )",1325,"(+/- 567 )",1210,"(+/- 465 )",1587,"(+/- 629 )",1356,"(+/- 809 )"
People,Ancestry,German,95621,"(+/- 8148 )",236640,"(+/- 9885 )",242985,"(+/- 8872 )",174469,"(+/- 8662 )",119497,"(+/- 6702 )",169721,"(+/- 7668 )",122058,"(+/- 8172 )",135186,"(+/- 7025 )"
People,Ancestry,Greek,2528,"(+/- 2106 )",3320,"(+/- 1064 )",2045,"(+/- 1475 )",242,"(+/- 223 )",1368,"(+/- 678 )",2031,"(+/- 918 )",715,"(+/- 482 )",1543,"(+/- 937 )"
People,Ancestry,Hungarian,918,"(+/- 357 )",3735,"(+/- 1227 )",1870,"(+/- 848 )",1456,"(+/- 1019 )",721,"(+/- 361 )",1522,"(+/- 897 )",1429,"(+/- 816 )",751,"(+/- 406 )"
People,Ancestry,Irish,62112,"(+/- 4931 )",122309,"(+/- 7465 )",112960,"(+/- 7231 )",96127,"(+/- 7831 )",85411,"(+/- 6330 )",90671,"(+/- 6574 )",79495,"(+/- 5735 )",87209,"(+/- 6443 )"
People,Ancestry,Italian,23169,"(+/- 3388 )",42524,"(+/- 4471 )",34201,"(+/- 4120 )",18673,"(+/- 3613 )",18562,"(+/- 2756 )",24833,"(+/- 3823 )",14584,"(+/- 2483 )",13331,"(+/- 2622 )"
People,Ancestry,Lithuanian,738,"(+/- 409 )",1886,"(+/- 966 )",656,"(+/- 438 )",485,"(+/- 392 )",474,"(+/- 396 )",364,"(+/- 237 )",348,"(+/- 248 )",980,"(+/- 744 )"
People,Ancestry,Norwegian,2724,"(+/- 829 )",6367,"(+/- 1551 )",6230,"(+/- 1471 )",6906,"(+/- 1712 )",5510,"(+/- 1374 )",7918,"(+/- 1639 )",9058,"(+/- 2184 )",3285,"(+/- 901 )"
People,Ancestry,Polish,14673,"(+/- 2547 )",20909,"(+/- 2519 )",17337,"(+/- 2675 )",9293,"(+/- 2199 )",8047,"(+/- 1581 )",12168,"(+/- 3564 )",7434,"(+/- 1921 )",7793,"(+/- 1570 )"
People,Ancestry,Portuguese,339,"(+/- 265 )",564,"(+/- 309 )",533,"(+/- 328 )",1149,"(+/- 651 )",155,"(+/- 168 )",239,"(+/- 170 )",848,"(+/- 578 )",463,"(+/- 590 )"
People,Ancestry,Russian,4815,"(+/- 1349 )",8421,"(+/- 2612 )",2344,"(+/- 768 )",3817,"(+/- 1780 )",2114,"(+/- 1041 )",2249,"(+/- 1529 )",2862,"(+/- 1432 )",737,"(+/- 426 )"
People,Ancestry,Scotch-Irish,4952,"(+/- 1327 )",5380,"(+/- 1231 )",7540,"(+/- 2081 )",9468,"(+/- 1974 )",7901,"(+/- 1538 )",13352,"(+/- 3441 )",11350,"(+/- 2191 )",6902,"(+/- 1394 )"
People,Ancestry,Scottish,5558,"(+/- 1411 )",12937,"(+/- 2079 )",11817,"(+/- 2409 )",18010,"(+/- 3282 )",12170,"(+/- 2135 )",13806,"(+/- 2071 )",13397,"(+/- 2005 )",13119,"(+/- 2265 )"
People,Ancestry,Slovak,754,"(+/- 423 )",1187,"(+/- 473 )",362,"(+/- 336 )",91,"(+/- 120 )",496,"(+/- 343 )",107,"(+/- 133 )",657,"(+/- 555 )",111,"(+/- 195 )"
People,Ancestry,"Subsaharan African",18740,"(+/- 4942 )",3152,"(+/- 1305 )",3220,"(+/- 1596 )",4477,"(+/- 1783 )",8295,"(+/- 2201 )",9213,"(+/- 2946 )",5226,"(+/- 1752 )",1680,"(+/- 710 )"
People,Ancestry,Swedish,3642,"(+/- 996 )",6886,"(+/- 1580 )",5519,"(+/- 1187 )",7665,"(+/- 1438 )",8329,"(+/- 1647 )",8736,"(+/- 2261 )",6775,"(+/- 1591 )",4375,"(+/- 1530 )"
People,Ancestry,Swiss,1567,"(+/- 668 )",3986,"(+/- 1341 )",1701,"(+/- 654 )",5238,"(+/- 1580 )",2223,"(+/- 751 )",4708,"(+/- 1447 )",2387,"(+/- 757 )",1931,"(+/- 993 )"
People,Ancestry,Ukrainian,730,"(+/- 367 )",1843,"(+/- 946 )",565,"(+/- 360 )",1535,"(+/- 953 )",606,"(+/- 318 )",934,"(+/- 643 )",1520,"(+/- 820 )",678,"(+/- 474 )"
People,Ancestry,Welsh,2253,"(+/- 718 )",4081,"(+/- 1036 )",7103,"(+/- 2108 )",5980,"(+/- 1302 )",6318,"(+/- 1581 )",6390,"(+/- 1391 )",5936,"(+/- 1404 )",5265,"(+/- 1700 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",3211,"(+/- 1998 )",463,"(+/- 561 )",1649,"(+/- 1789 )",1640,"(+/- 1098 )",3986,"(+/- 1907 )",1409,"(+/- 1754 )",548,"(+/- 501 )",819,"(+/- 565 )"
People,"Veteran Status","Civilian population 18 years and over",569495,"(+/- 8148 )",594985,"(+/- 10462 )",617199,"(+/- 6474 )",590975,"(+/- 3559 )",600218,"(+/- 5605 )",593396,"(+/- 5593 )",608554,"(+/- 2873 )",570329,"(+/- 3975 )"
People,"Veteran Status","Civilian veterans",37192,"(+/- 2947 )",39642,"(+/- 2982 )",57652,"(+/- 3477 )",54900,"(+/- 3218 )",44817,"(+/- 3060 )",47669,"(+/- 3093 )",48611,"(+/- 4185 )",52065,"(+/- 2772 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",719783,"(+/- 11215 )",742960,"(+/- 14287 )",789695,"(+/- 8698 )",745217,"(+/- 4420 )",769266,"(+/- 7443 )",758098,"(+/- 8007 )",779301,"(+/- 3805 )",716345,"(+/- 5525 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",110510,"(+/- 5974 )",75275,"(+/- 4533 )",104968,"(+/- 6681 )",119842,"(+/- 5547 )",107897,"(+/- 5434 )",102468,"(+/- 5187 )",122962,"(+/- 5840 )",143974,"(+/- 5081 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",156839,"(+/- 5136 )",156503,"(+/- 6611 )",184450,"(+/- 4369 )",169758,"(+/- 2307 )",175796,"(+/- 3816 )",181967,"(+/- 4404 )",177991,"(+/- 2202 )",164331,"(+/- 2957 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",9742,"(+/- 2520 )",5808,"(+/- 1592 )",9787,"(+/- 1745 )",8335,"(+/- 1923 )",7237,"(+/- 1648 )",7388,"(+/- 1460 )",7862,"(+/- 1733 )",9425,"(+/- 1484 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",459723,"(+/- 8172 )",440414,"(+/- 9868 )",474442,"(+/- 7433 )",448749,"(+/- 3869 )",474458,"(+/- 4857 )",449500,"(+/- 5471 )",465050,"(+/- 3196 )",418513,"(+/- 4379 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",63731,"(+/- 4760 )",29172,"(+/- 2937 )",55493,"(+/- 5207 )",61088,"(+/- 4142 )",58120,"(+/- 4137 )",51418,"(+/- 3520 )",64022,"(+/- 4734 )",76619,"(+/- 4397 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",103221,"(+/- 3367 )",146043,"(+/- 3526 )",130803,"(+/- 2935 )",126710,"(+/- 2046 )",119012,"(+/- 2460 )",126631,"(+/- 2400 )",136260,"(+/- 1953 )",133501,"(+/- 2031 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",37037,"(+/- 2898 )",40295,"(+/- 2766 )",39688,"(+/- 2720 )",50419,"(+/- 2640 )",42540,"(+/- 2410 )",43662,"(+/- 2943 )",51078,"(+/- 3173 )",57930,"(+/- 2937 )"
People,"Residence 1 Year Ago","Population 1 year and over",719388,"(+/- 11226 )",745102,"(+/- 14129 )",794488,"(+/- 8343 )",765257,"(+/- 4044 )",767946,"(+/- 7815 )",769512,"(+/- 7745 )",779430,"(+/- 3601 )",728574,"(+/- 5366 )"
People,"Residence 1 Year Ago","Same house",607957,"(+/- 13063 )",655602,"(+/- 13047 )",701644,"(+/- 11025 )",633824,"(+/- 7440 )",655516,"(+/- 10283 )",662718,"(+/- 9550 )",669895,"(+/- 8921 )",613309,"(+/- 9924 )"
People,"Residence 1 Year Ago","Different house in the U.S.",106981,"(+/- 9461 )",86438,"(+/- 7223 )",91913,"(+/- 8088 )",126850,"(+/- 6762 )",109719,"(+/- 7876 )",104261,"(+/- 6953 )",106764,"(+/- 7965 )",113722,"(+/- 9479 )"
People,"Residence 1 Year Ago","Same county",65824,"(+/- 8866 )",47126,"(+/- 5035 )",46057,"(+/- 5750 )",64923,"(+/- 6070 )",65277,"(+/- 7091 )",49948,"(+/- 5124 )",56244,"(+/- 7015 )",66681,"(+/- 7725 )"
People,"Residence 1 Year Ago","Different county",41157,"(+/- 4414 )",39312,"(+/- 5158 )",45856,"(+/- 5332 )",61927,"(+/- 4489 )",44442,"(+/- 4529 )",54313,"(+/- 5237 )",50520,"(+/- 5451 )",47041,"(+/- 4902 )"
People,"Residence 1 Year Ago","Same state",23696,"(+/- 3952 )",22819,"(+/- 3892 )",32211,"(+/- 4043 )",35411,"(+/- 3195 )",19425,"(+/- 3534 )",31756,"(+/- 3879 )",32641,"(+/- 4231 )",34264,"(+/- 4498 )"
People,"Residence 1 Year Ago","Different state",17461,"(+/- 3134 )",16493,"(+/- 3247 )",13645,"(+/- 3326 )",26516,"(+/- 3069 )",25017,"(+/- 3844 )",22557,"(+/- 3756 )",17879,"(+/- 3157 )",12777,"(+/- 2739 )"
People,"Residence 1 Year Ago",Abroad,4450,"(+/- 1699 )",3062,"(+/- 1389 )",931,"(+/- 541 )",4583,"(+/- 1510 )",2711,"(+/- 1555 )",2533,"(+/- 1240 )",2771,"(+/- 1175 )",1543,"(+/- 664 )"
Workers,"Employment Status","Population 16 years and over",586864,"(+/- 8967 )",613902,"(+/- 11064 )",637905,"(+/- 6747 )",623516,"(+/- 3879 )",619531,"(+/- 5979 )",616755,"(+/- 5910 )",628469,"(+/- 3383 )",591093,"(+/- 4214 )"
Workers,"Employment Status","In labor force",384067,"(+/- 9323 )",404759,"(+/- 9439 )",411051,"(+/- 8561 )",381758,"(+/- 5808 )",412068,"(+/- 6513 )",385428,"(+/- 7093 )",371290,"(+/- 6571 )",327814,"(+/- 6698 )"
Workers,"Employment Status","Civilian labor force",383385,"(+/- 9289 )",404528,"(+/- 9472 )",410459,"(+/- 8538 )",367640,"(+/- 6239 )",411135,"(+/- 6631 )",384069,"(+/- 7157 )",370579,"(+/- 6651 )",326726,"(+/- 6616 )"
Workers,"Employment Status",Employed,363473,"(+/- 9014 )",393602,"(+/- 9224 )",397183,"(+/- 8432 )",352761,"(+/- 6437 )",396442,"(+/- 6846 )",371596,"(+/- 7034 )",356220,"(+/- 7142 )",311182,"(+/- 6731 )"
Workers,"Employment Status",Unemployed,19912,"(+/- 2885 )",10926,"(+/- 2256 )",13276,"(+/- 2243 )",14879,"(+/- 2273 )",14693,"(+/- 2470 )",12473,"(+/- 1796 )",14359,"(+/- 1832 )",15544,"(+/- 2181 )"
Workers,"Employment Status","Armed Forces",682,"(+/- 433 )",231,"(+/- 219 )",592,"(+/- 469 )",14118,"(+/- 2243 )",933,"(+/- 660 )",1359,"(+/- 533 )",711,"(+/- 636 )",1088,"(+/- 655 )"
Workers,"Employment Status","Not in labor force",202797,"(+/- 6391 )",209143,"(+/- 6001 )",226854,"(+/- 6610 )",241758,"(+/- 6040 )",207463,"(+/- 7053 )",231327,"(+/- 5358 )",257179,"(+/- 6324 )",263279,"(+/- 6144 )"
Workers,"Employment Status","Civilian labor force",383385,"(+/- 9289 )",404528,"(+/- 9472 )",410459,"(+/- 8538 )",367640,"(+/- 6239 )",411135,"(+/- 6631 )",384069,"(+/- 7157 )",370579,"(+/- 6651 )",326726,"(+/- 6616 )"
Workers,"Employment Status","Unemployment Rate",5.2,"(+/- 0.7 )",2.7,"(+/- 0.5 )",3.2,"(+/- 0.5 )",4.0,"(+/- 0.6 )",3.6,"(+/- 0.6 )",3.2,"(+/- 0.5 )",3.9,"(+/- 0.5 )",4.8,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",357130,"(+/- 8964 )",388279,"(+/- 9067 )",393314,"(+/- 8364 )",360919,"(+/- 6192 )",391636,"(+/- 7133 )",367490,"(+/- 6945 )",350337,"(+/- 7230 )",306172,"(+/- 6822 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",277713,"(+/- 8935 )",330897,"(+/- 9276 )",334325,"(+/- 7816 )",285384,"(+/- 6272 )",323660,"(+/- 7239 )",305656,"(+/- 6349 )",284637,"(+/- 7172 )",250386,"(+/- 6679 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",29199,"(+/- 3481 )",23939,"(+/- 2774 )",32762,"(+/- 3205 )",33325,"(+/- 2920 )",27591,"(+/- 3700 )",29074,"(+/- 2855 )",34175,"(+/- 3351 )",34577,"(+/- 3147 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",17202,"(+/- 2647 )",1193,"(+/- 565 )",884,"(+/- 508 )",986,"(+/- 628 )",7517,"(+/- 1718 )",717,"(+/- 479 )",4345,"(+/- 1495 )",576,"(+/- 395 )"
Workers,"Commuting to Work",Walked,11366,"(+/- 1909 )",2251,"(+/- 740 )",6104,"(+/- 1718 )",18139,"(+/- 1916 )",6290,"(+/- 1185 )",5398,"(+/- 1167 )",5899,"(+/- 1297 )",5139,"(+/- 1201 )"
Workers,"Commuting to Work","Other means",6261,"(+/- 1551 )",4251,"(+/- 1040 )",3725,"(+/- 1076 )",5593,"(+/- 1544 )",3958,"(+/- 1174 )",4549,"(+/- 1363 )",4532,"(+/- 1280 )",3538,"(+/- 1135 )"
Workers,"Commuting to Work","Worked from home",15389,"(+/- 2966 )",25748,"(+/- 2675 )",15514,"(+/- 2114 )",17492,"(+/- 2076 )",22620,"(+/- 2537 )",22096,"(+/- 3000 )",16749,"(+/- 2452 )",11956,"(+/- 2166 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.0,"(+/- 0.7 )",25.5,"(+/- 0.6 )",26.7,"(+/- 0.6 )",23.7,"(+/- 0.6 )",23.8,"(+/- 0.6 )",23.5,"(+/- 0.5 )",22.5,"(+/- 0.6 )",24.7,"(+/- 0.8 )"
