cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE","District 53 Estimate","District 53 MOE"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",144127,"(+/- 2653 )",135788,"(+/- 3376 )",172823,"(+/- 4450 )",155079,"(+/- 2924 )",145327,"(+/- 5329 )",194336,"(+/- 7699 )",167068,"(+/- 6965 )",203093,"(+/- 8676 )",206531,"(+/- 6281 )",201019,"(+/- 4295 )",168733,"(+/- 5130 )",105587,"(+/- 2479 )",140830,"(+/- 4699 )",136284,"(+/- 3809 )",178395,"(+/- 5735 )",222745,"(+/- 6727 )",155863,"(+/- 6996 )",172082,"(+/- 6970 )",161814,"(+/- 6009 )",178693,"(+/- 3021 )",222861,"(+/- 9101 )",220320,"(+/- 7783 )",193664,"(+/- 8541 )",147885,"(+/- 1174 )",182916,"(+/- 8784 )",167054,"(+/- 2243 )",132232,"(+/- 6846 )",106767,"(+/- 7141 )",162410,"(+/- 8753 )",143217,"(+/- 9765 )",185597,"(+/- 8247 )",146342,"(+/- 8079 )",131932,"(+/- 6938 )",139551,"(+/- 9531 )",197305,"(+/- 8105 )",152943,"(+/- 8329 )",136814,"(+/- 8061 )",150629,"(+/- 7459 )",149684,"(+/- 7268 )",203220,"(+/- 10427 )",210430,"(+/- 8030 )",224198,"(+/- 7884 )",175756,"(+/- 9096 )",182577,"(+/- 9084 )",165500,"(+/- 7100 )",174531,"(+/- 7094 )",151508,"(+/- 7173 )",144678,"(+/- 6720 )",164266,"(+/- 8189 )",180494,"(+/- 8235 )",183482,"(+/- 7858 )",147701,"(+/- 8361 )",153402,"(+/- 9593 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5133,"(+/- 1337 )",5516,"(+/- 1483 )",5362,"(+/- 1444 )",4772,"(+/- 1211 )",6455,"(+/- 1850 )",7929,"(+/- 2012 )",6839,"(+/- 1771 )",11715,"(+/- 3333 )",7019,"(+/- 1846 )",7010,"(+/- 1401 )",4763,"(+/- 1329 )",2405,"(+/- 824 )",4614,"(+/- 1337 )",3370,"(+/- 999 )",5225,"(+/- 1103 )",9957,"(+/- 2082 )",2145,"(+/- 706 )",4065,"(+/- 1019 )",5327,"(+/- 1332 )",6644,"(+/- 1654 )",7183,"(+/- 1723 )",8446,"(+/- 2309 )",6715,"(+/- 2021 )",5133,"(+/- 1528 )",5186,"(+/- 1072 )",6728,"(+/- 1747 )",3454,"(+/- 807 )",2159,"(+/- 740 )",6208,"(+/- 1404 )",4153,"(+/- 1174 )",5585,"(+/- 1560 )",4054,"(+/- 1062 )",2916,"(+/- 1098 )",3451,"(+/- 909 )",7148,"(+/- 1884 )",8002,"(+/- 2229 )",3744,"(+/- 1083 )",4175,"(+/- 1079 )",3802,"(+/- 1145 )",5201,"(+/- 1290 )",8875,"(+/- 1692 )",6394,"(+/- 1739 )",4578,"(+/- 1225 )",6569,"(+/- 1754 )",4558,"(+/- 1598 )",5025,"(+/- 1435 )",5987,"(+/- 1460 )",5671,"(+/- 2311 )",6950,"(+/- 2449 )",4375,"(+/- 1099 )",7045,"(+/- 1861 )",4518,"(+/- 1877 )",6458,"(+/- 1478 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",402719,"(+/- 4879 )",407265,"(+/- 5524 )",452853,"(+/- 5518 )",424867,"(+/- 5396 )",440095,"(+/- 7696 )",483044,"(+/- 8843 )",463443,"(+/- 8974 )",404651,"(+/- 7784 )",459733,"(+/- 6669 )",461469,"(+/- 4349 )",468185,"(+/- 5936 )",551272,"(+/- 6541 )",512805,"(+/- 6133 )",478193,"(+/- 7635 )",488704,"(+/- 8101 )",432005,"(+/- 9225 )",536901,"(+/- 10048 )",460176,"(+/- 8886 )",468571,"(+/- 10440 )",439386,"(+/- 4974 )",403526,"(+/- 11589 )",447092,"(+/- 10295 )",427374,"(+/- 11124 )",445505,"(+/- 2489 )",438271,"(+/- 10355 )",435167,"(+/- 3929 )",451284,"(+/- 10819 )",471334,"(+/- 13165 )",471225,"(+/- 17477 )",495826,"(+/- 19007 )",461325,"(+/- 9943 )",443347,"(+/- 10227 )",442328,"(+/- 11444 )",485703,"(+/- 12331 )",480484,"(+/- 10239 )",415717,"(+/- 9786 )",501062,"(+/- 17172 )",441587,"(+/- 10211 )",447942,"(+/- 9899 )",445701,"(+/- 11919 )",498179,"(+/- 8983 )",504483,"(+/- 9541 )",476764,"(+/- 13186 )",445537,"(+/- 14427 )",500924,"(+/- 8733 )",473420,"(+/- 8371 )",458889,"(+/- 10457 )",443400,"(+/- 8970 )",420672,"(+/- 8731 )",451239,"(+/- 12408 )",428887,"(+/- 12051 )",483396,"(+/- 12441 )",506940,"(+/- 15525 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",57799,"(+/- 4063 )",40430,"(+/- 3918 )",42813,"(+/- 3788 )",41459,"(+/- 3686 )",38114,"(+/- 3842 )",43734,"(+/- 4128 )",43983,"(+/- 4507 )",51472,"(+/- 4507 )",49640,"(+/- 4764 )",49754,"(+/- 4632 )",40509,"(+/- 4326 )",32415,"(+/- 3405 )",33063,"(+/- 3433 )",21204,"(+/- 2452 )",24254,"(+/- 2173 )",54707,"(+/- 4768 )",22280,"(+/- 2404 )",21968,"(+/- 2386 )",33701,"(+/- 3987 )",33330,"(+/- 3192 )",39729,"(+/- 4173 )",44385,"(+/- 4256 )",43156,"(+/- 4151 )",37922,"(+/- 3786 )",37207,"(+/- 4149 )",33650,"(+/- 3945 )",24590,"(+/- 2659 )",30541,"(+/- 3203 )",40874,"(+/- 2989 )",31373,"(+/- 2911 )",41638,"(+/- 4076 )",33007,"(+/- 3112 )",16795,"(+/- 2468 )",38366,"(+/- 4210 )",33515,"(+/- 3936 )",50345,"(+/- 5161 )",32992,"(+/- 2958 )",32146,"(+/- 3228 )",27025,"(+/- 3364 )",28507,"(+/- 3068 )",45025,"(+/- 3922 )",35913,"(+/- 3647 )",40583,"(+/- 3894 )",33249,"(+/- 3212 )",24610,"(+/- 3406 )",27013,"(+/- 2902 )",35857,"(+/- 3027 )",21834,"(+/- 2286 )",27120,"(+/- 3043 )",40672,"(+/- 4043 )",41127,"(+/- 3974 )",23650,"(+/- 3112 )",35210,"(+/- 3819 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",149014,"(+/- 2878 )",155723,"(+/- 3892 )",109889,"(+/- 3172 )",166525,"(+/- 3278 )",135010,"(+/- 4253 )",99650,"(+/- 4329 )",118767,"(+/- 3972 )",94046,"(+/- 5158 )",107610,"(+/- 4839 )",96712,"(+/- 2841 )",124707,"(+/- 4105 )",119353,"(+/- 3019 )",111577,"(+/- 4302 )",125308,"(+/- 3894 )",109890,"(+/- 4584 )",81388,"(+/- 3439 )",92714,"(+/- 5276 )",117524,"(+/- 5147 )",104288,"(+/- 4698 )",106872,"(+/- 2140 )",65496,"(+/- 3823 )",95938,"(+/- 3657 )",101267,"(+/- 3673 )",129206,"(+/- 1247 )",90745,"(+/- 5232 )",116396,"(+/- 2663 )",123535,"(+/- 5914 )",111342,"(+/- 5453 )",80302,"(+/- 5026 )",121249,"(+/- 5855 )",91044,"(+/- 4710 )",107221,"(+/- 4752 )",126196,"(+/- 5836 )",90032,"(+/- 5084 )",77537,"(+/- 5037 )",176107,"(+/- 5732 )",92447,"(+/- 5688 )",108572,"(+/- 5471 )",117512,"(+/- 5670 )",65216,"(+/- 4757 )",74351,"(+/- 4049 )",103024,"(+/- 4460 )",92385,"(+/- 5467 )",82438,"(+/- 5393 )",122809,"(+/- 4908 )",76188,"(+/- 4943 )",103045,"(+/- 6047 )",128331,"(+/- 5204 )",118309,"(+/- 5704 )",118278,"(+/- 5935 )",91070,"(+/- 3537 )",110974,"(+/- 5981 )",103502,"(+/- 5101 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",52402,"(+/- 3117 )",45393,"(+/- 3379 )",41488,"(+/- 3309 )",56661,"(+/- 3165 )",40970,"(+/- 2419 )",38015,"(+/- 3180 )",43381,"(+/- 3096 )",40669,"(+/- 3858 )",41375,"(+/- 3697 )",38480,"(+/- 3222 )",36702,"(+/- 3085 )",42474,"(+/- 3350 )",34651,"(+/- 2689 )",34122,"(+/- 2725 )",33154,"(+/- 2949 )",36097,"(+/- 2879 )",28792,"(+/- 2729 )",30892,"(+/- 3076 )",34729,"(+/- 2518 )",31553,"(+/- 2573 )",26627,"(+/- 2923 )",35679,"(+/- 3070 )",39779,"(+/- 3537 )",39494,"(+/- 2675 )",32190,"(+/- 3343 )",35701,"(+/- 2439 )",36942,"(+/- 3084 )",42420,"(+/- 3187 )",32799,"(+/- 2929 )",40104,"(+/- 3703 )",31883,"(+/- 3029 )",39190,"(+/- 3211 )",34679,"(+/- 3325 )",34513,"(+/- 3120 )",30675,"(+/- 3243 )",62031,"(+/- 4270 )",30749,"(+/- 3457 )",31256,"(+/- 2951 )",32321,"(+/- 3288 )",23999,"(+/- 2690 )",31942,"(+/- 2604 )",36442,"(+/- 3345 )",32864,"(+/- 3087 )",29005,"(+/- 3129 )",30894,"(+/- 2681 )",25124,"(+/- 2871 )",34593,"(+/- 3340 )",36418,"(+/- 2882 )",32603,"(+/- 3177 )",36576,"(+/- 3389 )",34848,"(+/- 3052 )",32121,"(+/- 3467 )",32996,"(+/- 3260 )"
People,"Residence 1 Year Ago","Population 1 year and over",704376,"(+/- 5848 )",702590,"(+/- 5632 )",747192,"(+/- 6500 )",752300,"(+/- 7385 )",720310,"(+/- 8992 )",771857,"(+/- 11943 )",749333,"(+/- 12265 )",715408,"(+/- 10361 )",777113,"(+/- 8215 )",754071,"(+/- 4829 )",755234,"(+/- 8133 )",772496,"(+/- 7913 )",761176,"(+/- 4805 )",736242,"(+/- 9884 )",775308,"(+/- 8977 )",744128,"(+/- 12699 )",781024,"(+/- 12432 )",744735,"(+/- 13189 )",730187,"(+/- 14354 )",734032,"(+/- 7010 )",718948,"(+/- 17361 )",758684,"(+/- 14287 )",734745,"(+/- 16332 )",728431,"(+/- 2243 )",711200,"(+/- 12640 )",716383,"(+/- 3821 )",705954,"(+/- 11437 )",687795,"(+/- 15284 )",710876,"(+/- 23022 )",755713,"(+/- 24723 )",744306,"(+/- 12769 )",694391,"(+/- 11738 )",697613,"(+/- 14755 )",721338,"(+/- 20150 )",754982,"(+/- 11939 )",750575,"(+/- 11555 )",727120,"(+/- 22159 )",698165,"(+/- 12080 )",710528,"(+/- 10501 )",706717,"(+/- 16483 )",777508,"(+/- 9165 )",830806,"(+/- 11269 )",738091,"(+/- 17511 )",708104,"(+/- 18489 )",783564,"(+/- 8031 )",726407,"(+/- 11233 )",709125,"(+/- 13011 )",709261,"(+/- 9938 )",722611,"(+/- 11161 )",748605,"(+/- 14898 )",732845,"(+/- 17741 )",758681,"(+/- 16372 )",774864,"(+/- 19744 )"
People,"Residence 1 Year Ago","Same house",586859,"(+/- 10347 )",601719,"(+/- 9069 )",629457,"(+/- 10605 )",654734,"(+/- 9621 )",633068,"(+/- 10257 )",641496,"(+/- 14925 )",649769,"(+/- 13644 )",636377,"(+/- 11507 )",704241,"(+/- 12030 )",684595,"(+/- 7680 )",665549,"(+/- 11393 )",658272,"(+/- 11194 )",646705,"(+/- 9029 )",652279,"(+/- 11093 )",692992,"(+/- 10847 )",655342,"(+/- 16790 )",651749,"(+/- 15367 )",639549,"(+/- 13849 )",655840,"(+/- 14426 )",644902,"(+/- 8684 )",646810,"(+/- 18573 )",663142,"(+/- 17618 )",629149,"(+/- 18624 )",586497,"(+/- 8997 )",647292,"(+/- 12409 )",652808,"(+/- 7770 )",643462,"(+/- 11972 )",611151,"(+/- 15225 )",641138,"(+/- 20609 )",672351,"(+/- 24363 )",658948,"(+/- 14631 )",639931,"(+/- 11550 )",591953,"(+/- 13179 )",633659,"(+/- 19912 )",677612,"(+/- 13096 )",655912,"(+/- 13798 )",650719,"(+/- 21108 )",648432,"(+/- 13067 )",632263,"(+/- 12113 )",669854,"(+/- 16881 )",695594,"(+/- 11713 )",729069,"(+/- 13580 )",663476,"(+/- 16670 )",654868,"(+/- 18038 )",668477,"(+/- 13009 )",645751,"(+/- 13812 )",635244,"(+/- 13583 )",615530,"(+/- 10826 )",618587,"(+/- 13594 )",658354,"(+/- 16399 )",669940,"(+/- 18412 )",632867,"(+/- 17725 )",667886,"(+/- 20208 )"
People,"Residence 1 Year Ago","Different house in the U.S.",116477,"(+/- 8691 )",97532,"(+/- 8614 )",111536,"(+/- 9603 )",93630,"(+/- 7130 )",84788,"(+/- 7779 )",124248,"(+/- 10923 )",95801,"(+/- 8234 )",76834,"(+/- 9508 )",71294,"(+/- 8442 )",67571,"(+/- 6410 )",82318,"(+/- 8846 )",103724,"(+/- 9239 )",106828,"(+/- 7605 )",76596,"(+/- 6958 )",74917,"(+/- 7294 )",86509,"(+/- 8929 )",113562,"(+/- 9319 )",93427,"(+/- 7611 )",68442,"(+/- 6278 )",86145,"(+/- 7276 )",68100,"(+/- 7428 )",94456,"(+/- 10890 )",101818,"(+/- 13034 )",136258,"(+/- 8323 )",62118,"(+/- 6701 )",60931,"(+/- 6509 )",56391,"(+/- 5991 )",71913,"(+/- 6028 )",64379,"(+/- 7265 )",77752,"(+/- 9152 )",83278,"(+/- 9354 )",51684,"(+/- 6672 )",96005,"(+/- 9294 )",81355,"(+/- 7085 )",73421,"(+/- 9124 )",87900,"(+/- 8253 )",70033,"(+/- 6332 )",47045,"(+/- 6523 )",71890,"(+/- 7725 )",34801,"(+/- 5198 )",77947,"(+/- 9931 )",97929,"(+/- 9324 )",69236,"(+/- 7779 )",51662,"(+/- 7900 )",104128,"(+/- 9165 )",77741,"(+/- 8838 )",70899,"(+/- 7225 )",89757,"(+/- 8474 )",97675,"(+/- 9004 )",88241,"(+/- 9137 )",58138,"(+/- 7396 )",116133,"(+/- 8775 )",100150,"(+/- 9333 )"
People,"Residence 1 Year Ago","Same county",65328,"(+/- 6040 )",53408,"(+/- 6363 )",59595,"(+/- 7857 )",37266,"(+/- 4694 )",53974,"(+/- 6606 )",81327,"(+/- 9867 )",63196,"(+/- 7284 )",43106,"(+/- 6872 )",41043,"(+/- 6460 )",42517,"(+/- 6521 )",47126,"(+/- 7960 )",60373,"(+/- 6249 )",59065,"(+/- 6062 )",37838,"(+/- 4986 )",38401,"(+/- 4705 )",54073,"(+/- 7461 )",74595,"(+/- 8074 )",55282,"(+/- 6334 )",50631,"(+/- 5129 )",44929,"(+/- 5122 )",42015,"(+/- 6647 )",68788,"(+/- 10670 )",75195,"(+/- 12164 )",86632,"(+/- 7779 )",47842,"(+/- 5300 )",39477,"(+/- 5590 )",43021,"(+/- 5844 )",55465,"(+/- 5568 )",52148,"(+/- 6172 )",62334,"(+/- 7834 )",56740,"(+/- 7685 )",41228,"(+/- 6319 )",66915,"(+/- 8065 )",64459,"(+/- 5913 )",38356,"(+/- 8254 )",56632,"(+/- 6590 )",51156,"(+/- 5446 )",37375,"(+/- 6114 )",44134,"(+/- 6380 )",31783,"(+/- 4949 )",40276,"(+/- 6095 )",53746,"(+/- 8507 )",56883,"(+/- 6679 )",43894,"(+/- 6876 )",72988,"(+/- 7564 )",59265,"(+/- 7341 )",54662,"(+/- 6612 )",63815,"(+/- 7141 )",66591,"(+/- 7989 )",62194,"(+/- 8090 )",43717,"(+/- 6543 )",73408,"(+/- 7138 )",65676,"(+/- 7466 )"
People,"Residence 1 Year Ago","Different county",51149,"(+/- 5779 )",44124,"(+/- 5496 )",51941,"(+/- 5971 )",56364,"(+/- 5657 )",30814,"(+/- 4491 )",42921,"(+/- 5882 )",32605,"(+/- 4485 )",33728,"(+/- 5536 )",30251,"(+/- 5498 )",25054,"(+/- 4987 )",35192,"(+/- 4954 )",43351,"(+/- 5388 )",47763,"(+/- 4133 )",38758,"(+/- 5070 )",36516,"(+/- 6091 )",32436,"(+/- 6577 )",38967,"(+/- 5110 )",38145,"(+/- 4291 )",17811,"(+/- 3138 )",41216,"(+/- 5030 )",26085,"(+/- 3811 )",25668,"(+/- 5636 )",26623,"(+/- 4600 )",49626,"(+/- 5386 )",14276,"(+/- 3438 )",21454,"(+/- 3184 )",13370,"(+/- 2377 )",16448,"(+/- 3002 )",12231,"(+/- 3542 )",15418,"(+/- 3733 )",26538,"(+/- 4413 )",10456,"(+/- 2762 )",29090,"(+/- 3929 )",16896,"(+/- 3008 )",35065,"(+/- 5190 )",31268,"(+/- 4071 )",18877,"(+/- 2557 )",9670,"(+/- 1769 )",27756,"(+/- 4320 )",3018,"(+/- 1146 )",37671,"(+/- 8327 )",44183,"(+/- 7376 )",12353,"(+/- 2994 )",7768,"(+/- 3184 )",31140,"(+/- 5045 )",18476,"(+/- 3720 )",16237,"(+/- 2839 )",25942,"(+/- 4012 )",31084,"(+/- 5071 )",26047,"(+/- 4635 )",14421,"(+/- 3159 )",42725,"(+/- 5183 )",34474,"(+/- 4891 )"
People,"Residence 1 Year Ago","Same state",43528,"(+/- 5194 )",32096,"(+/- 4228 )",42717,"(+/- 6090 )",43233,"(+/- 4581 )",26426,"(+/- 3912 )",35932,"(+/- 5869 )",25608,"(+/- 4540 )",19566,"(+/- 3680 )",24345,"(+/- 5273 )",21449,"(+/- 4398 )",27071,"(+/- 4193 )",25776,"(+/- 3765 )",35278,"(+/- 3856 )",29846,"(+/- 4822 )",28306,"(+/- 5457 )",26879,"(+/- 5673 )",21889,"(+/- 3868 )",21551,"(+/- 3363 )",12898,"(+/- 2881 )",29509,"(+/- 4432 )",20135,"(+/- 2875 )",18500,"(+/- 4980 )",18445,"(+/- 3384 )",35129,"(+/- 4225 )",7189,"(+/- 1294 )",14707,"(+/- 2500 )",6163,"(+/- 1426 )",5081,"(+/- 1521 )",4335,"(+/- 1896 )",8041,"(+/- 2909 )",22458,"(+/- 4195 )",7290,"(+/- 2554 )",11703,"(+/- 2360 )",7630,"(+/- 1982 )",29736,"(+/- 4721 )",19437,"(+/- 3444 )",7852,"(+/- 1970 )",7172,"(+/- 1565 )",19747,"(+/- 3472 )",1644,"(+/- 920 )",34560,"(+/- 7913 )",36668,"(+/- 6645 )",4668,"(+/- 1502 )",5398,"(+/- 3133 )",21327,"(+/- 4489 )",14718,"(+/- 3460 )",11183,"(+/- 2206 )",16384,"(+/- 3092 )",17477,"(+/- 4323 )",13954,"(+/- 3287 )",6123,"(+/- 2025 )",16141,"(+/- 2979 )",16358,"(+/- 3440 )"
People,"Residence 1 Year Ago","Different state",7621,"(+/- 2744 )",12028,"(+/- 3928 )",9224,"(+/- 2394 )",13131,"(+/- 3160 )",4388,"(+/- 1513 )",6989,"(+/- 1767 )",6997,"(+/- 2081 )",14162,"(+/- 4531 )",5906,"(+/- 2065 )",3605,"(+/- 1822 )",8121,"(+/- 2566 )",17575,"(+/- 3319 )",12485,"(+/- 1964 )",8912,"(+/- 1950 )",8210,"(+/- 1874 )",5557,"(+/- 2814 )",17078,"(+/- 3200 )",16594,"(+/- 3415 )",4913,"(+/- 1463 )",11707,"(+/- 2440 )",5950,"(+/- 2278 )",7168,"(+/- 2448 )",8178,"(+/- 2802 )",14497,"(+/- 2891 )",7087,"(+/- 2973 )",6747,"(+/- 1598 )",7207,"(+/- 1943 )",11367,"(+/- 2603 )",7896,"(+/- 2879 )",7377,"(+/- 2216 )",4080,"(+/- 1260 )",3166,"(+/- 1359 )",17387,"(+/- 3225 )",9266,"(+/- 2269 )",5329,"(+/- 1697 )",11831,"(+/- 2641 )",11025,"(+/- 1669 )",2498,"(+/- 791 )",8009,"(+/- 2752 )",1374,"(+/- 640 )",3111,"(+/- 1359 )",7515,"(+/- 2757 )",7685,"(+/- 2541 )",2370,"(+/- 1203 )",9813,"(+/- 3072 )",3758,"(+/- 1281 )",5054,"(+/- 1457 )",9558,"(+/- 2361 )",13607,"(+/- 3707 )",12093,"(+/- 3367 )",8298,"(+/- 2008 )",26584,"(+/- 4454 )",18116,"(+/- 3872 )"
People,"Residence 1 Year Ago",Abroad,1040,"(+/- 519 )",3339,"(+/- 1575 )",6199,"(+/- 1640 )",3936,"(+/- 1509 )",2454,"(+/- 1043 )",6113,"(+/- 2539 )",3763,"(+/- 1954 )",2197,"(+/- 1277 )",1578,"(+/- 754 )",1905,"(+/- 1181 )",7367,"(+/- 2712 )",10500,"(+/- 2123 )",7643,"(+/- 1690 )",7367,"(+/- 2264 )",7399,"(+/- 2081 )",2277,"(+/- 911 )",15713,"(+/- 3302 )",11759,"(+/- 2504 )",5905,"(+/- 1349 )",2985,"(+/- 1330 )",4038,"(+/- 2207 )",1086,"(+/- 826 )",3778,"(+/- 1859 )",5676,"(+/- 1544 )",1790,"(+/- 943 )",2644,"(+/- 921 )",6101,"(+/- 1948 )",4731,"(+/- 1459 )",5359,"(+/- 2013 )",5610,"(+/- 1794 )",2080,"(+/- 886 )",2776,"(+/- 1105 )",9655,"(+/- 2706 )",6324,"(+/- 2255 )",3949,"(+/- 2050 )",6763,"(+/- 3225 )",6368,"(+/- 1832 )",2688,"(+/- 754 )",6375,"(+/- 1856 )",2062,"(+/- 836 )",3967,"(+/- 2052 )",3808,"(+/- 2021 )",5379,"(+/- 2523 )",1574,"(+/- 827 )",10959,"(+/- 2915 )",2915,"(+/- 1098 )",2982,"(+/- 943 )",3974,"(+/- 2025 )",6349,"(+/- 2277 )",2010,"(+/- 927 )",4767,"(+/- 1672 )",9681,"(+/- 2056 )",6828,"(+/- 2208 )"
Workers,"Employment Status","Population 16 years and over",582397,"(+/- 5237 )",588982,"(+/- 5713 )",600187,"(+/- 5747 )",621711,"(+/- 6358 )",597339,"(+/- 7979 )",607102,"(+/- 8784 )",610721,"(+/- 9182 )",541334,"(+/- 8584 )",602867,"(+/- 8097 )",586581,"(+/- 4452 )",617174,"(+/- 7540 )",683195,"(+/- 7092 )",642399,"(+/- 5700 )",624726,"(+/- 8298 )",622656,"(+/- 8012 )",554011,"(+/- 10175 )",652838,"(+/- 10178 )",599966,"(+/- 10351 )",592897,"(+/- 12360 )",583703,"(+/- 5343 )",527061,"(+/- 13636 )",571866,"(+/- 10838 )",568466,"(+/- 12144 )",606007,"(+/- 2142 )",558861,"(+/- 11628 )",576180,"(+/- 4181 )",595299,"(+/- 10562 )",597800,"(+/- 13047 )",573459,"(+/- 18859 )",637040,"(+/- 19720 )",590405,"(+/- 10647 )",570413,"(+/- 11292 )",586893,"(+/- 11862 )",604887,"(+/- 14620 )",590518,"(+/- 10621 )",621019,"(+/- 9702 )",610743,"(+/- 18469 )",571205,"(+/- 11134 )",584999,"(+/- 10063 )",536270,"(+/- 12106 )",599190,"(+/- 8530 )",642771,"(+/- 10241 )",589145,"(+/- 14752 )",554292,"(+/- 14949 )",645039,"(+/- 9432 )",580797,"(+/- 10294 )",580544,"(+/- 11419 )",591834,"(+/- 10037 )",587699,"(+/- 9896 )",595697,"(+/- 13495 )",579116,"(+/- 14140 )",635600,"(+/- 13339 )",643885,"(+/- 16411 )"
Workers,"Employment Status","In labor force",318103,"(+/- 6791 )",361227,"(+/- 6628 )",358722,"(+/- 5679 )",359912,"(+/- 7776 )",387178,"(+/- 9147 )",393968,"(+/- 9190 )",388957,"(+/- 9203 )",301477,"(+/- 8687 )",363985,"(+/- 7607 )",358246,"(+/- 7244 )",396598,"(+/- 6881 )",500103,"(+/- 6989 )",434602,"(+/- 8355 )",430562,"(+/- 7901 )",419208,"(+/- 8505 )",324668,"(+/- 9093 )",459359,"(+/- 8152 )",391030,"(+/- 9072 )",401716,"(+/- 10591 )",368485,"(+/- 6628 )",297865,"(+/- 10089 )",359069,"(+/- 9931 )",333169,"(+/- 10192 )",374343,"(+/- 6513 )",340951,"(+/- 8273 )",372892,"(+/- 6406 )",377614,"(+/- 8460 )",410773,"(+/- 10683 )",385922,"(+/- 14482 )",432801,"(+/- 15020 )",372523,"(+/- 8980 )",361948,"(+/- 10162 )",379185,"(+/- 9482 )",396577,"(+/- 9799 )",377527,"(+/- 9097 )",325423,"(+/- 8777 )",415128,"(+/- 14331 )",361407,"(+/- 9758 )",384566,"(+/- 8335 )",349131,"(+/- 9265 )",378185,"(+/- 7942 )",400648,"(+/- 10818 )",397384,"(+/- 12543 )",355549,"(+/- 13149 )",420359,"(+/- 9041 )",393754,"(+/- 9483 )",381054,"(+/- 10237 )",389541,"(+/- 9391 )",393735,"(+/- 9998 )",372079,"(+/- 10395 )",358998,"(+/- 11788 )",433580,"(+/- 11187 )",444721,"(+/- 13155 )"
Workers,"Employment Status","Civilian labor force",317410,"(+/- 6773 )",360652,"(+/- 6602 )",352372,"(+/- 5634 )",358169,"(+/- 7892 )",386935,"(+/- 9131 )",393304,"(+/- 9188 )",388548,"(+/- 9149 )",288956,"(+/- 8304 )",363865,"(+/- 7609 )",358203,"(+/- 7250 )",396598,"(+/- 6881 )",499937,"(+/- 7052 )",433524,"(+/- 8357 )",430457,"(+/- 7920 )",418114,"(+/- 8511 )",323879,"(+/- 9072 )",458967,"(+/- 8139 )",390612,"(+/- 9056 )",400927,"(+/- 10552 )",362829,"(+/- 6533 )",291115,"(+/- 10273 )",357851,"(+/- 9957 )",329575,"(+/- 10176 )",369646,"(+/- 6895 )",340605,"(+/- 8289 )",369472,"(+/- 6364 )",377310,"(+/- 8440 )",410600,"(+/- 10690 )",385781,"(+/- 14517 )",432426,"(+/- 15019 )",372194,"(+/- 8941 )",361623,"(+/- 10130 )",378203,"(+/- 9506 )",396227,"(+/- 9802 )",377301,"(+/- 9117 )",324706,"(+/- 8727 )",413913,"(+/- 14296 )",360710,"(+/- 9710 )",384294,"(+/- 8411 )",349131,"(+/- 9265 )",377752,"(+/- 7958 )",397387,"(+/- 10830 )",396738,"(+/- 12515 )",354752,"(+/- 13152 )",420136,"(+/- 9070 )",393174,"(+/- 9384 )",379910,"(+/- 10206 )",389077,"(+/- 9350 )",368394,"(+/- 9018 )",367306,"(+/- 10606 )",340381,"(+/- 11241 )",413733,"(+/- 10483 )",430080,"(+/- 13300 )"
