cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
People,"Sex and Age","55 to 59 years",46907,"(+/- 3550 )",47031,"(+/- 3667 )",48081,"(+/- 3332 )",37821,"(+/- 3506 )",38963,"(+/- 3331 )",57386,"(+/- 3297 )",40627,"(+/- 3615 )",47065,"(+/- 4004 )",47315,"(+/- 3599 )",46996,"(+/- 3047 )",46277,"(+/- 3804 )",48505,"(+/- 2599 )",45707,"(+/- 2724 )",54733,"(+/- 4228 )",47786,"(+/- 2285 )",48642,"(+/- 2547 )",44603,"(+/- 2744 )",46309,"(+/- 2990 )"
People,"Sex and Age","60 to 64 years",48052,"(+/- 3612 )",46027,"(+/- 3242 )",47262,"(+/- 3767 )",35227,"(+/- 3338 )",39009,"(+/- 3156 )",51748,"(+/- 3100 )",40722,"(+/- 3802 )",45075,"(+/- 3596 )",44035,"(+/- 3194 )",47514,"(+/- 2784 )",40450,"(+/- 2873 )",47629,"(+/- 2548 )",45578,"(+/- 3063 )",44441,"(+/- 3615 )",51283,"(+/- 2750 )",48519,"(+/- 2192 )",48468,"(+/- 2761 )",45669,"(+/- 2516 )"
People,"Sex and Age","65 to 74 years",68372,"(+/- 3744 )",61663,"(+/- 3632 )",67786,"(+/- 4423 )",47451,"(+/- 3588 )",53313,"(+/- 3821 )",71813,"(+/- 4672 )",61128,"(+/- 4129 )",58216,"(+/- 4170 )",71618,"(+/- 3857 )",65034,"(+/- 2775 )",54898,"(+/- 3649 )",71011,"(+/- 1716 )",66292,"(+/- 2298 )",65028,"(+/- 3644 )",74017,"(+/- 1640 )",74099,"(+/- 2229 )",73886,"(+/- 2060 )",76390,"(+/- 2241 )"
People,"Sex and Age","75 to 84 years",37235,"(+/- 2945 )",32885,"(+/- 2417 )",32842,"(+/- 2812 )",20311,"(+/- 2394 )",29523,"(+/- 2465 )",35747,"(+/- 2789 )",29769,"(+/- 3428 )",29253,"(+/- 2695 )",36800,"(+/- 2803 )",31618,"(+/- 2324 )",27377,"(+/- 2715 )",37929,"(+/- 2055 )",33719,"(+/- 1918 )",31831,"(+/- 2721 )",41582,"(+/- 1759 )",38783,"(+/- 2205 )",39786,"(+/- 1871 )",42336,"(+/- 2362 )"
People,"Sex and Age","85 years and over",12933,"(+/- 1898 )",13400,"(+/- 1650 )",14536,"(+/- 2031 )",8425,"(+/- 1823 )",12873,"(+/- 1713 )",14601,"(+/- 2102 )",10629,"(+/- 2013 )",10730,"(+/- 1549 )",22307,"(+/- 3550 )",14973,"(+/- 1749 )",10236,"(+/- 1735 )",14019,"(+/- 1509 )",15744,"(+/- 1799 )",10914,"(+/- 1938 )",16924,"(+/- 1578 )",18015,"(+/- 1629 )",14604,"(+/- 1695 )",18157,"(+/- 1973 )"
People,"Sex and Age","Median age (years)",38.8,"(+/- 0.9 )",37.9,"(+/- 1.0 )",40.0,"(+/- 1.0 )",34.0,"(+/- 0.6 )",35.8,"(+/- 0.5 )",42.1,"(+/- 0.9 )",35.1,"(+/- 0.7 )",37.3,"(+/- 0.8 )",40.3,"(+/- 0.8 )",38.7,"(+/- 0.5 )",37.2,"(+/- 0.8 )",40.4,"(+/- 0.4 )",36.8,"(+/- 0.6 )",39.8,"(+/- 0.7 )",41.4,"(+/- 0.6 )",41.2,"(+/- 0.5 )",40.7,"(+/- 0.6 )",40.7,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",554413,"(+/- 12966 )",529469,"(+/- 10094 )",541336,"(+/- 12543 )",521207,"(+/- 15730 )",594685,"(+/- 14002 )",550695,"(+/- 9895 )",583146,"(+/- 15476 )",547096,"(+/- 9187 )",569647,"(+/- 9944 )",540634,"(+/- 7037 )",544986,"(+/- 9864 )",533075,"(+/- 3298 )",560775,"(+/- 6894 )",544840,"(+/- 8425 )",534831,"(+/- 3799 )",545853,"(+/- 5324 )",519704,"(+/- 5834 )",540750,"(+/- 6273 )"
People,"Sex and Age","65 years and over",118540,"(+/- 5127 )",107948,"(+/- 4474 )",115164,"(+/- 6128 )",76187,"(+/- 5002 )",95709,"(+/- 5210 )",122161,"(+/- 5905 )",101526,"(+/- 5384 )",98199,"(+/- 5659 )",130725,"(+/- 6017 )",111625,"(+/- 3732 )",92511,"(+/- 4562 )",122959,"(+/- 1893 )",115755,"(+/- 2635 )",107773,"(+/- 4719 )",132523,"(+/- 2069 )",130897,"(+/- 2759 )",128276,"(+/- 2529 )",136883,"(+/- 2695 )"
People,Race,"Total population",711039,"(+/- 17932 )",685695,"(+/- 13061 )",702503,"(+/- 16991 )",676674,"(+/- 22481 )",739401,"(+/- 18229 )",710626,"(+/- 11904 )",727761,"(+/- 21736 )",717115,"(+/- 12382 )",719256,"(+/- 14265 )",706189,"(+/- 8111 )",721594,"(+/- 11023 )",679002,"(+/- 3364 )",698830,"(+/- 8782 )",727525,"(+/- 9880 )",685859,"(+/- 5590 )",694262,"(+/- 6576 )",666201,"(+/- 7618 )",702289,"(+/- 9496 )"
People,Race,"One race",696084,"(+/- 18368 )",669697,"(+/- 13802 )",684476,"(+/- 16698 )",653332,"(+/- 22364 )",716534,"(+/- 18419 )",689053,"(+/- 11960 )",708364,"(+/- 21716 )",692931,"(+/- 13161 )",693659,"(+/- 14072 )",684759,"(+/- 8426 )",694833,"(+/- 12417 )",658768,"(+/- 4508 )",681238,"(+/- 9183 )",709230,"(+/- 9458 )",674603,"(+/- 5725 )",678778,"(+/- 7082 )",647558,"(+/- 7988 )",685991,"(+/- 9152 )"
People,Race,White,298659,"(+/- 11274 )",259846,"(+/- 11170 )",543259,"(+/- 15720 )",392916,"(+/- 17522 )",586340,"(+/- 15950 )",583032,"(+/- 11761 )",287759,"(+/- 15651 )",467007,"(+/- 14215 )",491930,"(+/- 11103 )",486169,"(+/- 11538 )",498296,"(+/- 15657 )",528140,"(+/- 4189 )",565536,"(+/- 8848 )",626402,"(+/- 12529 )",633301,"(+/- 5943 )",619971,"(+/- 7408 )",541536,"(+/- 7525 )",633960,"(+/- 7142 )"
People,Race,"Black or African American",359132,"(+/- 15145 )",383058,"(+/- 13820 )",37020,"(+/- 5073 )",30368,"(+/- 4538 )",21894,"(+/- 3400 )",15262,"(+/- 3440 )",308948,"(+/- 14539 )",46169,"(+/- 7745 )",68298,"(+/- 8490 )",50362,"(+/- 3896 )",82835,"(+/- 6370 )",113132,"(+/- 3672 )",82843,"(+/- 3800 )",22642,"(+/- 5020 )",32344,"(+/- 3157 )",26711,"(+/- 3296 )",82307,"(+/- 4837 )",26887,"(+/- 4378 )"
People,Race,"American Indian and Alaska Native",745,"(+/- 491 )",998,"(+/- 706 )",3252,"(+/- 1820 )",3748,"(+/- 1791 )",2543,"(+/- 1350 )",1550,"(+/- 1040 )",1228,"(+/- 817 )",1788,"(+/- 1173 )",1680,"(+/- 971 )",3909,"(+/- 1882 )",3012,"(+/- 1661 )",2330,"(+/- 1022 )",1154,"(+/- 384 )",420,"(+/- 498 )",1125,"(+/- 718 )",671,"(+/- 460 )",1965,"(+/- 773 )",482,"(+/- 293 )"
People,Race,Asian,18714,"(+/- 3521 )",4796,"(+/- 2071 )",33325,"(+/- 5831 )",29896,"(+/- 4168 )",51678,"(+/- 6066 )",67341,"(+/- 6053 )",56794,"(+/- 7021 )",97141,"(+/- 8418 )",106057,"(+/- 7732 )",76956,"(+/- 4969 )",56901,"(+/- 5177 )",9047,"(+/- 1707 )",27867,"(+/- 1390 )",38783,"(+/- 4198 )",4551,"(+/- 1364 )",11371,"(+/- 1539 )",6370,"(+/- 1056 )",20404,"(+/- 1575 )"
People,Race,"Native Hawaiian and Other Pacific Islander",42,"(+/- 83 )",0,"(+/- 195 )",268,"(+/- 361 )",524,"(+/- 707 )",693,"(+/- 437 )",0,"(+/- 195 )",380,"(+/- 308 )",249,"(+/- 261 )",296,"(+/- 321 )",67,"(+/- 116 )",262,"(+/- 450 )",681,"(+/- 488 )",360,"(+/- 269 )",0,"(+/- 195 )",303,"(+/- 268 )",0,"(+/- 195 )",0,"(+/- 195 )",386,"(+/- 363 )"
People,Race,"Some other race",18792,"(+/- 5848 )",20999,"(+/- 5032 )",67352,"(+/- 11188 )",195880,"(+/- 14453 )",53386,"(+/- 8284 )",21868,"(+/- 4707 )",53255,"(+/- 8136 )",80577,"(+/- 12125 )",25398,"(+/- 6550 )",67296,"(+/- 10058 )",53527,"(+/- 8178 )",5438,"(+/- 1691 )",3478,"(+/- 1339 )",20983,"(+/- 6912 )",2979,"(+/- 1234 )",20054,"(+/- 4199 )",15380,"(+/- 3007 )",3872,"(+/- 1131 )"
People,Race,"Two or more races",14955,"(+/- 3789 )",15998,"(+/- 4468 )",18027,"(+/- 3968 )",23342,"(+/- 4101 )",22867,"(+/- 3919 )",21573,"(+/- 3648 )",19397,"(+/- 3263 )",24184,"(+/- 4217 )",25597,"(+/- 5026 )",21430,"(+/- 3448 )",26761,"(+/- 4654 )",20234,"(+/- 3086 )",17592,"(+/- 3162 )",18295,"(+/- 3510 )",11256,"(+/- 2092 )",15484,"(+/- 2689 )",18643,"(+/- 2787 )",16298,"(+/- 3196 )"
People,"Hispanic or Latino and Race","Total population",711039,"(+/- 17932 )",685695,"(+/- 13061 )",702503,"(+/- 16991 )",676674,"(+/- 22481 )",739401,"(+/- 18229 )",710626,"(+/- 11904 )",727761,"(+/- 21736 )",717115,"(+/- 12382 )",719256,"(+/- 14265 )",706189,"(+/- 8111 )",721594,"(+/- 11023 )",679002,"(+/- 3364 )",698830,"(+/- 8782 )",727525,"(+/- 9880 )",685859,"(+/- 5590 )",694262,"(+/- 6576 )",666201,"(+/- 7618 )",702289,"(+/- 9496 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",78785,"(+/- 9181 )",109578,"(+/- 10644 )",227075,"(+/- 14921 )",453973,"(+/- 20258 )",161849,"(+/- 12434 )",82932,"(+/- 8456 )",125615,"(+/- 15714 )",200876,"(+/- 14895 )",80528,"(+/- 9336 )",177533,"(+/- 7673 )",202886,"(+/- 9659 )",22764,"(+/- 1490 )",28126,"(+/- 3304 )",86970,"(+/- 8074 )",19041,"(+/- 2669 )",73367,"(+/- 3874 )",64068,"(+/- 3820 )",20334,"(+/- 2423 )"
People,"Hispanic or Latino and Race",Mexican,63984,"(+/- 8483 )",98164,"(+/- 10731 )",187485,"(+/- 13913 )",347069,"(+/- 18146 )",98758,"(+/- 9936 )",63588,"(+/- 7963 )",92316,"(+/- 15750 )",159368,"(+/- 14854 )",48539,"(+/- 8077 )",143008,"(+/- 9239 )",177336,"(+/- 9876 )",16714,"(+/- 1840 )",16751,"(+/- 2879 )",62566,"(+/- 8443 )",14991,"(+/- 2550 )",57972,"(+/- 4810 )",54507,"(+/- 3790 )",14136,"(+/- 2056 )"
People,"Hispanic or Latino and Race","Puerto Rican",8535,"(+/- 3140 )",3919,"(+/- 2110 )",14332,"(+/- 4032 )",55032,"(+/- 7451 )",26935,"(+/- 4985 )",5283,"(+/- 2143 )",15125,"(+/- 4842 )",15097,"(+/- 3150 )",10430,"(+/- 3600 )",12781,"(+/- 4114 )",11491,"(+/- 3161 )",2395,"(+/- 1013 )",2524,"(+/- 1170 )",11629,"(+/- 3371 )",1343,"(+/- 474 )",5065,"(+/- 1233 )",3746,"(+/- 1430 )",1447,"(+/- 725 )"
People,"Hispanic or Latino and Race",Cuban,509,"(+/- 351 )",303,"(+/- 308 )",1917,"(+/- 1214 )",2604,"(+/- 1068 )",2857,"(+/- 895 )",1079,"(+/- 604 )",1059,"(+/- 577 )",1324,"(+/- 834 )",3070,"(+/- 1809 )",1496,"(+/- 746 )",1268,"(+/- 733 )",275,"(+/- 208 )",628,"(+/- 410 )",1523,"(+/- 1206 )",252,"(+/- 254 )",1176,"(+/- 964 )",560,"(+/- 360 )",618,"(+/- 561 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",5757,"(+/- 2131 )",7192,"(+/- 2051 )",23341,"(+/- 4522 )",49268,"(+/- 7472 )",33299,"(+/- 6398 )",12982,"(+/- 3079 )",17115,"(+/- 3863 )",25087,"(+/- 5834 )",18489,"(+/- 3510 )",20248,"(+/- 4715 )",12791,"(+/- 3351 )",3380,"(+/- 1161 )",8223,"(+/- 3218 )",11252,"(+/- 4469 )",2455,"(+/- 950 )",9154,"(+/- 2975 )",5255,"(+/- 1735 )",4133,"(+/- 1599 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",632254,"(+/- 17183 )",576117,"(+/- 13529 )",475428,"(+/- 11848 )",222701,"(+/- 11268 )",577552,"(+/- 14978 )",627694,"(+/- 12366 )",602146,"(+/- 17911 )",516239,"(+/- 14899 )",638728,"(+/- 13157 )",528656,"(+/- 9562 )",518708,"(+/- 13897 )",656238,"(+/- 3319 )",670704,"(+/- 8671 )",640555,"(+/- 11582 )",666818,"(+/- 5218 )",620895,"(+/- 6099 )",602133,"(+/- 7740 )",681955,"(+/- 9366 )"
People,"Place of Birth","Total population",711039,"(+/- 17932 )",685695,"(+/- 13061 )",702503,"(+/- 16991 )",676674,"(+/- 22481 )",739401,"(+/- 18229 )",710626,"(+/- 11904 )",727761,"(+/- 21736 )",717115,"(+/- 12382 )",719256,"(+/- 14265 )",706189,"(+/- 8111 )",721594,"(+/- 11023 )",679002,"(+/- 3364 )",698830,"(+/- 8782 )",727525,"(+/- 9880 )",685859,"(+/- 5590 )",694262,"(+/- 6576 )",666201,"(+/- 7618 )",702289,"(+/- 9496 )"
People,"Place of Birth",Native,648143,"(+/- 17109 )",634418,"(+/- 14359 )",556310,"(+/- 14590 )",460299,"(+/- 17092 )",586082,"(+/- 16305 )",601823,"(+/- 13182 )",622407,"(+/- 20087 )",515416,"(+/- 12430 )",527598,"(+/- 14234 )",536532,"(+/- 9200 )",581635,"(+/- 12639 )",662052,"(+/- 3722 )",663017,"(+/- 9085 )",662932,"(+/- 10830 )",673276,"(+/- 5323 )",660554,"(+/- 6562 )",634495,"(+/- 7653 )",678340,"(+/- 9526 )"
People,"Place of Birth","Born in United States",643067,"(+/- 16868 )",628973,"(+/- 14352 )",545396,"(+/- 14537 )",438950,"(+/- 16627 )",572315,"(+/- 15635 )",595001,"(+/- 13103 )",614644,"(+/- 19420 )",503982,"(+/- 12198 )",515746,"(+/- 13438 )",524409,"(+/- 9226 )",572263,"(+/- 12483 )",654863,"(+/- 4209 )",657375,"(+/- 9092 )",656032,"(+/- 10722 )",669825,"(+/- 5391 )",655877,"(+/- 6566 )",629621,"(+/- 7723 )",674871,"(+/- 9503 )"
People,"Place of Birth","State of residence",545935,"(+/- 16763 )",529728,"(+/- 14374 )",490394,"(+/- 13867 )",363104,"(+/- 15410 )",411379,"(+/- 13512 )",466920,"(+/- 13154 )",448469,"(+/- 17399 )",426831,"(+/- 11414 )",383944,"(+/- 12708 )",406748,"(+/- 8956 )",471617,"(+/- 11627 )",457255,"(+/- 6791 )",515078,"(+/- 10297 )",526219,"(+/- 11796 )",531375,"(+/- 7004 )",536051,"(+/- 8727 )",482316,"(+/- 8410 )",549460,"(+/- 10472 )"
People,"Place of Birth","Different state",97132,"(+/- 4786 )",99245,"(+/- 6242 )",55002,"(+/- 3652 )",75846,"(+/- 5837 )",160936,"(+/- 5784 )",128081,"(+/- 6791 )",166175,"(+/- 8856 )",77151,"(+/- 6069 )",131802,"(+/- 6872 )",117661,"(+/- 6364 )",100646,"(+/- 6827 )",197608,"(+/- 6920 )",142297,"(+/- 8247 )",129813,"(+/- 6820 )",138450,"(+/- 5925 )",119826,"(+/- 6450 )",147305,"(+/- 5646 )",125411,"(+/- 6542 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",5076,"(+/- 1793 )",5445,"(+/- 1811 )",10914,"(+/- 2650 )",21349,"(+/- 3319 )",13767,"(+/- 2111 )",6822,"(+/- 1428 )",7763,"(+/- 1837 )",11434,"(+/- 2651 )",11852,"(+/- 2774 )",12123,"(+/- 2468 )",9372,"(+/- 2738 )",7189,"(+/- 2036 )",5642,"(+/- 1910 )",6900,"(+/- 1925 )",3451,"(+/- 882 )",4677,"(+/- 1318 )",4874,"(+/- 1068 )",3469,"(+/- 928 )"
People,"Place of Birth","Foreign born",62896,"(+/- 6599 )",51277,"(+/- 5696 )",146193,"(+/- 9107 )",216375,"(+/- 10515 )",153319,"(+/- 9392 )",108803,"(+/- 7631 )",105354,"(+/- 7767 )",201699,"(+/- 10323 )",191658,"(+/- 10139 )",169657,"(+/- 7263 )",139959,"(+/- 7465 )",16950,"(+/- 2823 )",35813,"(+/- 3265 )",64593,"(+/- 5472 )",12583,"(+/- 1930 )",33708,"(+/- 3058 )",31706,"(+/- 3839 )",23949,"(+/- 2660 )"
People,Ancestry,"Total population",711039,"(+/- 17932 )",685695,"(+/- 13061 )",702503,"(+/- 16991 )",676674,"(+/- 22481 )",739401,"(+/- 18229 )",710626,"(+/- 11904 )",727761,"(+/- 21736 )",717115,"(+/- 12382 )",719256,"(+/- 14265 )",706189,"(+/- 8111 )",721594,"(+/- 11023 )",679002,"(+/- 3364 )",698830,"(+/- 8782 )",727525,"(+/- 9880 )",685859,"(+/- 5590 )",694262,"(+/- 6576 )",666201,"(+/- 7618 )",702289,"(+/- 9496 )"
People,Ancestry,American,14366,"(+/- 3771 )",13954,"(+/- 2335 )",14740,"(+/- 2777 )",10833,"(+/- 2264 )",20284,"(+/- 3507 )",18403,"(+/- 2548 )",12788,"(+/- 3619 )",13029,"(+/- 2573 )",20928,"(+/- 3557 )",17608,"(+/- 2536 )",12758,"(+/- 2646 )",38218,"(+/- 4149 )",39955,"(+/- 4113 )",25202,"(+/- 3879 )",54882,"(+/- 5008 )",32552,"(+/- 3523 )",38419,"(+/- 3729 )",40628,"(+/- 3967 )"
People,Ancestry,Arab,7293,"(+/- 3509 )",771,"(+/- 620 )",25094,"(+/- 6309 )",4827,"(+/- 2661 )",11317,"(+/- 3080 )",7059,"(+/- 2812 )",4736,"(+/- 1928 )",3473,"(+/- 1699 )",15628,"(+/- 5011 )",4545,"(+/- 2676 )",6971,"(+/- 2853 )",1698,"(+/- 1076 )",3588,"(+/- 1946 )",3795,"(+/- 2061 )",415,"(+/- 279 )",3327,"(+/- 1950 )",2208,"(+/- 991 )",3561,"(+/- 1925 )"
People,Ancestry,Czech,3777,"(+/- 1412 )",1331,"(+/- 729 )",10337,"(+/- 2062 )",3832,"(+/- 1232 )",6143,"(+/- 1275 )",11605,"(+/- 1906 )",4036,"(+/- 1402 )",6107,"(+/- 1432 )",5085,"(+/- 1311 )",3624,"(+/- 1192 )",11039,"(+/- 2511 )",1727,"(+/- 742 )",1424,"(+/- 792 )",8682,"(+/- 1888 )",1336,"(+/- 609 )",4908,"(+/- 1445 )",2158,"(+/- 789 )",1605,"(+/- 663 )"
People,Ancestry,Danish,1262,"(+/- 705 )",1078,"(+/- 521 )",1894,"(+/- 772 )",776,"(+/- 400 )",2946,"(+/- 863 )",3733,"(+/- 1092 )",1437,"(+/- 769 )",2126,"(+/- 696 )",3014,"(+/- 896 )",2832,"(+/- 862 )",2016,"(+/- 799 )",1118,"(+/- 674 )",1427,"(+/- 558 )",4816,"(+/- 1519 )",684,"(+/- 332 )",4780,"(+/- 1398 )",2857,"(+/- 1003 )",1923,"(+/- 750 )"
People,Ancestry,Dutch,8576,"(+/- 1813 )",8929,"(+/- 2759 )",6466,"(+/- 1610 )",2280,"(+/- 858 )",7762,"(+/- 1482 )",11746,"(+/- 2784 )",4312,"(+/- 1462 )",5824,"(+/- 1874 )",6666,"(+/- 1475 )",6244,"(+/- 1859 )",7525,"(+/- 1863 )",7744,"(+/- 1643 )",9371,"(+/- 1617 )",11623,"(+/- 3143 )",8364,"(+/- 1666 )",11220,"(+/- 1983 )",11695,"(+/- 2002 )",9534,"(+/- 1600 )"
People,Ancestry,English,15147,"(+/- 2146 )",14602,"(+/- 2003 )",21199,"(+/- 3535 )",10368,"(+/- 1307 )",35638,"(+/- 3443 )",49935,"(+/- 4587 )",21388,"(+/- 2636 )",23854,"(+/- 3129 )",38138,"(+/- 3668 )",29211,"(+/- 3094 )",34611,"(+/- 4201 )",52938,"(+/- 3972 )",61946,"(+/- 4782 )",54490,"(+/- 5674 )",57723,"(+/- 4402 )",57193,"(+/- 4833 )",49698,"(+/- 3573 )",68100,"(+/- 4758 )"
